,stickiness,simulation,average_degree,average_clustering,transitivity,diameter,entropy,dead_ends,ways_4,nodes,nodes_diameter_ratio,average_distance
0,0.1,19,2.790874524714829,0.06527249683143219,0.0821917808219178,36,1.1201316313376817,0.21292775665399238,0.2585551330798479,263,7.305555555555555,1.224187447238152
0,0.1,31,2.6904761904761907,0.1104497354497354,0.1452991452991453,31,1.3626343228514117,0.23412698412698413,0.17063492063492064,252,8.129032258064516,1.277432936041235
0,0.1,25,2.703125,0.12369791666666657,0.15546218487394958,40,1.392051425169526,0.21484375,0.16796875,256,6.4,1.24047188388814
0,0.2,60,2.7351778656126484,0.10408432147562573,0.13333333333333333,44,1.295923984652954,0.20553359683794467,0.16996047430830039,253,5.75,1.2638942944252969
0,1.0,28,2.168539325842697,0.06835205992509363,0.11538461538461539,31,1.8489962505662372,0.38202247191011235,0.033707865168539325,178,5.741935483870968,1.812255294950483
0,0.5,69,2.4647302904564317,0.07745504840940524,0.11599297012302284,41,1.3412466112739128,0.3112033195020747,0.12033195020746888,241,5.878048780487805,1.354201227087617
0,0.2,74,2.5596707818930042,0.09945130315500683,0.13614262560777957,43,1.455889708303009,0.2757201646090535,0.1440329218106996,243,5.651162790697675,1.340491454359405
0,1.0,14,2.403755868544601,0.09076682316118934,0.13577586206896552,41,1.5342238114789035,0.3145539906103286,0.056338028169014086,213,5.195121951219512,1.5260107269590675
0,0.5,55,2.4050632911392404,0.090014064697609,0.14150943396226415,37,1.415496345204637,0.3206751054852321,0.10548523206751055,237,6.405405405405405,1.3910533009289598
0,0.5,41,2.3791469194312795,0.09004739336492892,0.1390728476821192,38,1.5161427988662184,0.3222748815165877,0.06635071090047394,211,5.552631578947368,1.514450662045498
0,0.2,48,2.6823529411764704,0.10392156862745094,0.14285714285714285,41,1.3023906279759287,0.24313725490196078,0.19215686274509805,255,6.219512195121951,1.2748710222380881
0,0.5,96,2.3684210526315788,0.09137426900584791,0.145748987854251,40,1.4984153730472587,0.34649122807017546,0.08333333333333333,228,5.7,1.4543283958415985
0,0.5,82,2.509259259259259,0.10493827160493822,0.15204678362573099,40,1.499241983512624,0.26851851851851855,0.08796296296296297,216,5.4,1.4677585029312001
0,0.9,41,2.3195876288659796,0.11254295532646047,0.17336683417085427,34,1.6505142617164092,0.34536082474226804,0.06701030927835051,194,5.705882352941177,1.6276959495806669
0,0.05,38,2.830769230769231,0.10128205128205126,0.12708600770218229,36,1.3120019335905488,0.16153846153846155,0.17307692307692307,260,7.222222222222222,1.2231521333456359
0,0.7,78,2.356164383561644,0.07077625570776258,0.11663066954643629,44,1.3860182155064504,0.3287671232876712,0.0730593607305936,219,4.9772727272727275,1.4853322357431868
0,0.9,55,2.3451776649746194,0.07445008460236889,0.1162227602905569,49,1.5572177560512264,0.3350253807106599,0.07106598984771574,197,4.020408163265306,1.5685697374803338
0,0.05,10,2.7459016393442623,0.11612021857923494,0.14676258992805755,40,1.3811597392715895,0.18442622950819673,0.1721311475409836,244,6.1,1.2621984009666254
0,0.7,50,2.2634146341463413,0.07154471544715447,0.12,35,1.5360568769170202,0.3804878048780488,0.04390243902439024,205,5.857142857142857,1.63530902158117
0,0.7,44,2.415929203539823,0.10398230088495568,0.1541501976284585,42,1.516109505528113,0.3185840707964602,0.08849557522123894,226,5.380952380952381,1.4123879096487393
0,0.9,69,2.313131313131313,0.08164983164983168,0.14108910891089108,51,1.6968190777376577,0.3434343434343434,0.0707070707070707,198,3.8823529411764706,1.6232179467629446
0,0.2,9,2.6419753086419755,0.08093278463648833,0.1058282208588957,42,1.2898647799080876,0.23868312757201646,0.16049382716049382,243,5.785714285714286,1.3207067606208358
0,0.005,14,2.848708487084871,0.08241082410824109,0.1,31,1.1755696452653701,0.17343173431734318,0.22878228782287824,271,8.741935483870968,1.1809600048017552
0,0.9,82,2.396039603960396,0.08993399339933994,0.12582781456953643,38,1.621859031314193,0.3415841584158416,0.10891089108910891,202,5.315789473684211,1.5770437591363131
0,0.9,96,2.349514563106796,0.11974110032362449,0.18309859154929578,44,1.6353663947703456,0.3106796116504854,0.05825242718446602,206,4.681818181818182,1.5407566942108122
0,0.7,93,2.3609756097560974,0.10325203252032521,0.16289592760180996,31,1.6063497555785442,0.34146341463414637,0.09268292682926829,205,6.612903225806452,1.5398865575434766
0,0.005,28,3.02,0.07277777777777779,0.08563273073263558,31,1.1126138723845682,0.14666666666666667,0.31666666666666665,300,9.67741935483871,1.149679507967566
0,0.7,87,2.4292682926829268,0.10813008130081296,0.1609442060085837,37,1.4697061352356555,0.3121951219512195,0.1024390243902439,205,5.54054054054054,1.5567044254203646
0,0.01,48,2.964028776978417,0.1019184652278177,0.1101511879049676,32,1.1837195350427214,0.13309352517985612,0.2697841726618705,278,8.6875,1.1652201825177038
0,0.15,29,2.706766917293233,0.13095238095238093,0.1659919028340081,37,1.3510297933013375,0.21428571428571427,0.15789473684210525,266,7.1891891891891895,1.2351329142116512
0,0.08,78,2.806201550387597,0.06395348837209304,0.08066581306017925,32,1.3114372149492906,0.19767441860465115,0.21705426356589147,258,8.0625,1.263168866426467
0,0.08,50,2.841328413284133,0.08610086100861007,0.10869565217391304,35,1.218559150632725,0.17343173431734318,0.1992619926199262,271,7.742857142857143,1.206951462809705
0,0.01,74,2.870848708487085,0.09348093480934815,0.11228070175438597,30,1.2498095222981935,0.17712177121771217,0.23616236162361623,271,9.033333333333333,1.2100914698741496
0,0.3,34,2.489082969432314,0.09679767103347883,0.1478102189781022,40,1.4460560472985688,0.2925764192139738,0.1222707423580786,229,5.725,1.4011903812174964
