,stickiness,simulation,average_degree,average_clustering,transitivity,diameter,radius,entropy,dead_ends,ways_4
0,0.1,19,2.738095238095238,0.10615079365079365,0.147239263803681,37,19,1.2388436938438159,0.2261904761904762,0.20833333333333334
0,0.1,25,2.7564102564102564,0.10042735042735043,0.12445414847161572,24,13,1.2873251707653282,0.21794871794871795,0.20512820512820512
0,1.0,28,2.319327731092437,0.14285714285714285,0.200836820083682,24,12,1.7855126671786183,0.3277310924369748,0.04201680672268908
0,1.0,14,2.32,0.07733333333333332,0.12840466926070038,31,16,1.433687501968165,0.344,0.072
0,0.05,10,2.63953488372093,0.0697674418604651,0.0949367088607595,25,13,1.1557610115190697,0.27906976744186046,0.19767441860465115
0,0.2,9,2.720496894409938,0.10662525879917185,0.1210762331838565,36,18,1.261235452774465,0.18633540372670807,0.14285714285714285
0,0.05,9,2.834355828220859,0.11963190184049076,0.13883299798792756,24,12,1.252444543408579,0.17177914110429449,0.2085889570552147
0,0.05,8,2.744186046511628,0.08624031007751942,0.11377245508982035,27,14,1.267039486819004,0.22093023255813954,0.20348837209302326
0,0.2,8,2.446043165467626,0.07553956834532376,0.11392405063291139,35,18,1.3356312287036438,0.28776978417266186,0.09352517985611511
0,0.05,11,2.892857142857143,0.08730158730158728,0.11009174311926606,24,13,1.290276717201238,0.18452380952380953,0.27380952380952384
0,1.0,15,2.3551401869158877,0.09657320872274144,0.14537444933920704,28,14,1.7066326068109408,0.3364485981308411,0.07476635514018691
0,1.0,29,2.2764227642276422,0.09078590785907863,0.14814814814814814,27,14,1.4833275728734114,0.35772357723577236,0.06504065040650407
0,0.1,24,2.6666666666666665,0.13222222222222227,0.17518248175182483,27,14,1.3608299917865825,0.23333333333333334,0.17333333333333334
0,0.1,18,2.633093525179856,0.12110311750599524,0.15083798882681565,26,13,1.5016199933688597,0.20863309352517986,0.10071942446043165
0,0.1,26,2.6289308176100628,0.12893081761006284,0.16389548693586697,30,15,1.318252319063511,0.24528301886792453,0.14465408805031446
0,1.0,17,2.389830508474576,0.1483050847457627,0.21839080459770116,26,13,1.6811668505121373,0.3389830508474576,0.09322033898305085
0,0.05,13,2.721518987341772,0.06645569620253164,0.08764044943820225,27,14,1.2780241171880835,0.20253164556962025,0.17088607594936708
0,0.05,12,2.9613259668508287,0.10036832412523027,0.12096774193548387,25,13,1.2103265659199771,0.17679558011049723,0.3259668508287293
0,1.0,16,2.2903225806451615,0.0846774193548387,0.13692946058091288,30,15,1.5350382508225893,0.33064516129032256,0.03225806451612903
0,0.1,27,2.8117647058823527,0.10098039215686275,0.1316793893129771,28,14,1.2441333884703631,0.21176470588235294,0.24705882352941178
0,0.1,23,2.732919254658385,0.10973084886128368,0.13983050847457626,25,13,1.3700345666900413,0.2422360248447205,0.2236024844720497
0,1.0,12,2.3114754098360657,0.09426229508196725,0.14516129032258066,31,16,1.5427849672115586,0.3524590163934426,0.05737704918032787
0,0.05,16,2.817073170731707,0.08739837398373987,0.10821643286573146,28,14,1.3155669603861546,0.18902439024390244,0.21951219512195122
0,0.05,17,2.896103896103896,0.08225108225108224,0.0967741935483871,25,13,1.258364896824557,0.16883116883116883,0.2597402597402597
0,1.0,13,2.278688524590164,0.08606557377049182,0.13865546218487396,26,13,1.6049575559483689,0.3524590163934426,0.040983606557377046
0,0.1,22,2.7425149700598803,0.11477045908183629,0.14315352697095435,28,14,1.314741565661864,0.2155688622754491,0.18562874251497005
0,0.1,20,2.5827814569536423,0.11920529801324509,0.1590909090909091,26,14,1.4183218931742787,0.2847682119205298,0.17218543046357615
0,1.0,11,2.288135593220339,0.08757062146892654,0.1487603305785124,27,14,1.523877093196779,0.3898305084745763,0.0847457627118644
0,0.01,8,2.9060773480662982,0.08655616942909758,0.1075085324232082,25,13,1.166026994300959,0.1712707182320442,0.2541436464088398
0,0.05,15,2.8227848101265822,0.1318565400843882,0.17682926829268292,26,14,1.3665100980612457,0.20253164556962025,0.26582278481012656
0,0.05,29,2.8715083798882683,0.09217877094972068,0.11170212765957446,27,14,1.1452487884616145,0.17318435754189945,0.2346368715083799
0,0.05,28,2.9368421052631577,0.0850877192982456,0.103125,28,14,1.116709843904144,0.18421052631578946,0.3105263157894737
0,0.05,14,2.598639455782313,0.08163265306122451,0.10182767624020887,23,12,1.3891235607765606,0.2585034013605442,0.14965986394557823
0,0.01,9,2.7975460122699385,0.07157464212678938,0.08768267223382047,26,13,1.2603953626044484,0.17177914110429449,0.17177914110429449
